"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-3.4331931254437,0.910355358858392,0.000298258519507438,-0.509873645118284,0.181317566161338,1000,0.5,120,0.06,-0.493797425305604,0.181317566161338
"Saturated First Stage",-2.23167344229094,1.08062639947971,0.0129298643622613,-0.496433369267129,0.139931667228013,1000,0.5,184,0.092,-0.493797425305604,0.139931667228013
"Forest",-2.64633852178325,2.07066264351283,0.00406841715438463,-0.0878375779156329,0.0191951667837789,1000,0.5,477,0.2385,-0.0933607307446746,0.0191951667837789
"Saturated First Stage",-0.865220256752043,0.668513261338552,0.193563758500663,-0.0938760573037073,0.251903009844482,1000,0.5,362,0.181,-0.0933607307446746,0.251903009844482
"Forest",-4.97115536830169,1.01696329085759,3.32775430193047e-07,-0.863200281197194,0.154585446418078,1000,0.5,70,0.035,-0.820467282462486,0.154585446418078
"Saturated First Stage",-2.18686306375467,0.214140814171519,0.0144929711289089,-0.820595578957044,0.415218624409993,1000,0.5,7,0.0035,-0.820467282462486,0.415218624409993
"Forest",-2.5763780588198,2.02404818179848,0.00499207074551672,-0.0707661374412592,0.0214825972433038,1000,0.5,477,0.2385,-0.1738670287316,0.0214825972433038
"Saturated First Stage",-2.14009479112948,1.70095849565959,0.0162954872261242,-0.175154002147351,0.0444753905435682,1000,0.5,401,0.2005,-0.1738670287316,0.0444753905435682
"Forest",-2.34814507223489,2.76459891109774,0.00943358558701323,0.0394475651899065,0.00284964127324005,1000,0.5,442,0.221,0.0637099394215359,0.00943358558701323
"Saturated First Stage",-1.72518180952551,1.94707805081003,0.0424033959946992,0.0637471229847966,0.0257626890062,1000,0.5,474,0.237,0.0637099394215359,0.0424033959946992
"Forest",-3.46760646825355,3.25061074997152,0.000262557838793197,0.0111318620076479,0.000575787030519085,1000,0.5,532,0.266,0.032257741649789,0.000262557838793197
"Saturated First Stage",-2.60376547484605,2.5145630375302,0.00467930780845211,0.0354026195433124,0.00595899972191358,1000,0.5,495,0.2475,0.032257741649789,0.00467930780845211
"Forest",-2.12429031287577,3.13724674735896,0.0168229376295649,0.208992051020276,0.000852712678629814,1000,0.5,364,0.182,0.17312987607982,0.0168229376295649
"Saturated First Stage",-1.10234322493867,1.51224405126869,0.135290195060975,0.172437233879589,0.0652358941698892,1000,0.5,354,0.177,0.17312987607982,0.135290195060975
"Forest",-4.50612648556286,2.58056959174701,3.30108709059859e-06,-0.355494597404873,0.00493187367024221,1000,0.5,295,0.1475,-0.38443501909769,0.00493187367024221
"Saturated First Stage",-2.01849483038028,0.779513585588427,0.0219044992716594,-0.386613091884224,0.217838618947994,1000,0.5,300,0.15,-0.38443501909769,0.217838618947994
"Forest",-1.08402794778811,4.41927689218568,0.139176203714676,0.939348222058206,4.95158492681785e-06,1000,0.5,82,0.041,0.944937092427996,0.139176203714676
"Saturated First Stage",-1.80086889533545,3.93173649337407,0.0360138936371626,0.945297007746347,4.21672384914749e-05,1000,0.5,153,0.0765,0.944937092427996,0.0360138936371626
"Forest",-3.06244246689914,3.86117762543844,0.00109769336773945,0.171444105185218,5.64209140637623e-05,1000,0.5,402,0.201,0.312193349981516,0.00109769336773945
"Saturated First Stage",-0.628771796316303,1.38103739418423,0.264821754654744,0.313665570508786,0.0836337316489339,1000,0.5,178,0.089,0.312193349981516,0.264821754654744
"Forest",-4.25129455354059,2.09652066548489,1.06269210876311e-05,-0.179938300397738,0.0180180143380931,1000,0.5,388,0.194,-0.121664146678827,0.0180180143380931
"Saturated First Stage",-1.77626042554387,1.49999980579632,0.0379985361305087,-0.121553374802596,0.066807226421655,1000,0.5,412,0.206,-0.121664146678827,0.066807226421655
"Forest",-3.56582335106718,3.47597676035732,0.000181357818779078,-0.00197391593597648,0.00025449819558136,1000,0.5,530,0.265,0.0142435302632354,0.000181357818779078
"Saturated First Stage",-2.664994445237,2.46048203099734,0.00391211623061392,0.0141095360955889,0.00693752599335405,1000,0.5,489,0.2445,0.0142435302632354,0.00391211623061392
