"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-2.81666563706959,9.75427398543566,0.0024357822453557,1.07833819895918,8.84307982835502e-23,1100,0.22,1826,0.3652,1,0.0024357822453557,"Medium"
"Forest",-7.33626285601005,13.4107303891932,1.09820226169524e-13,0.939745888113811,2.61604941463212e-41,1218,0.2436,1525,0.305,1,1.09820226169524e-13,"Medium"
"Saturated First Stage",-2.16310654068152,8.24022574914032,0.0152901601572933,0.915194956426046,8.59430138823493e-17,1218,0.2436,1825,0.365,1,0.0152901601572933,"Medium"
"Forest",-5.04597014235199,11.2122779914962,2.25612937235522e-07,0.899134145470923,1.77469517339684e-29,695,0.139,914,0.1828,1,2.25612937235522e-07,"Medium"
"Saturated First Stage",-0.406627860837573,6.32510607525937,0.34214938500211,0.882984551894126,1.26529341839144e-10,695,0.139,881,0.1762,1,0.34214938500211,"Medium"
"Forest",-5.40934426946274,11.4825842687108,3.16279641378767e-08,0.872376713346606,8.06917654709673e-31,861,0.1722,1468,0.2936,1,3.16279641378767e-08,"Medium"
"Saturated First Stage",-2.25294005443202,7.98073007706378,0.0121530928884131,0.853268387310046,7.27351351428082e-16,861,0.1722,2142,0.4284,1,0.0121530928884131,"Medium"
"Forest",-1.76130211080317,8.78588243945581,0.0390936414953061,1.02735522260208,7.75708925583416e-19,57,0.0114,203,0.0406,1,0.0390936414953061,"Medium"
"Saturated First Stage",0.574437195778229,6.78011439513579,0.717151058703563,1.06524129208185,6.00403817607972e-12,57,0.0114,0,0,1,0.717151058703563,"Medium"
"Forest",-5.31730243947795,11.5947119920469,5.26584671626358e-08,0.872249302112817,2.19168843468329e-31,945,0.189,985,0.197,1,5.26584671626358e-08,"Medium"
"Saturated First Stage",-0.250932801005154,5.27044021286422,0.400938197869785,0.804077861564728,6.80484762311433e-08,945,0.189,326,0.0652,1,0.400938197869785,"Medium"
"Forest",-3.57796948820545,13.8151621930057,0.000173136931082074,0.882654838751657,1.03244316583329e-43,1105,0.221,1671,0.3342,1,0.000173136931082074,"Medium"
"Saturated First Stage",-1.84629840351173,8.09137511207556,0.0324540365987713,0.82109583635667,2.94974311751675e-16,1105,0.221,2500,0.5,1,0.0324540365987713,"Medium"
