"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Forest",-14.7230266034015,8.43648434503911,2.2933208785875e-49,-0.553019848535355,1.63512728593716e-17,1982,0.1982,2127,0.2127,-0.600975818717856,1.63512728593716e-17,"Medium"
"Saturated First Stage",-10.4036464148163,5.23801928574486,2.15076462060443e-25,-0.608567088737685,8.1154552575483e-08,1982,0.1982,2183,0.2183,-0.600975818717856,8.1154552575483e-08,"Medium"
"Forest",-6.94455375189784,6.60478930698314,1.89829251134507e-12,0.251029703279831,1.99041545133273e-11,2075,0.2075,1910,0.191,0.244818655693021,1.89829251134507e-12,"Medium"
"Saturated First Stage",-3.40722590842929,4.94265681014258,0.000330728071705738,0.226358029400248,3.85325373497367e-07,2075,0.2075,1643,0.1643,0.244818655693021,0.000330728071705738,"Medium"
"Forest",-5.44281041321243,10.8974360774634,2.62232285983696e-08,0.726894316662591,5.92754161714251e-28,1448,0.1448,1224,0.1224,0.731319797831058,2.62232285983696e-08,"Medium"
"Saturated First Stage",-2.51068393739277,7.59695632659975,0.00604056188954393,0.711885365631178,1.51588398218513e-14,1448,0.1448,1624,0.1624,0.731319797831058,0.00604056188954393,"Medium"
"Forest",-4.18336384548455,10.789690903812,1.43613570261361e-05,0.790811010026909,1.92541254903589e-27,1216,0.1216,861,0.0861,0.756173633647721,1.43613570261361e-05,"Medium"
"Saturated First Stage",-1.29417334425333,6.59682647169864,0.097832721149846,0.761473506358839,2.10025961729299e-11,1216,0.1216,869,0.0869,0.756173633647721,0.097832721149846,"Medium"
"Forest",-7.14185311961848,5.66205013221609,4.60404828840137e-13,0.177958155381749,7.47875544368972e-09,1420,0.142,1706,0.1706,0.195006628277993,4.60404828840137e-13,"Medium"
"Saturated First Stage",-1.55413109609329,3.46476025404884,0.060108282916459,0.227890552749353,0.00026535218085057,1420,0.142,1611,0.1611,0.195006628277993,0.060108282916459,"Medium"
"Forest",-4.80770959492851,10.471517620615,7.63346611055464e-07,0.711486132878999,5.8377982221508e-26,650,0.065,751,0.0751,0.719891595365789,7.63346611055464e-07,"Medium"
"Saturated First Stage",-1.57477401768895,6.70172507790764,0.0576860047705401,0.708903440463448,1.02986642908588e-11,650,0.065,1298,0.1298,0.719891595365789,0.0576860047705401,"Medium"
"Forest",-4.87748713150584,15.664483749678,5.37229277426644e-07,1.56838699874681,1.32284586523648e-55,1171,0.1171,568,0.0568,1.57009666664677,5.37229277426644e-07,"Medium"
"Saturated First Stage",-0.994824217136486,10.9257944250549,0.159935001437453,1.58383842565704,4.33888409908356e-28,1171,0.1171,912,0.0912,1.57009666664677,0.159935001437453,"Medium"
"Forest",-5.60480251400316,6.86037331385036,1.04246273187836e-08,0.0780822453125062,3.4340414103405e-12,2388,0.2388,2333,0.2333,0.106053652793073,1.04246273187836e-08,"Medium"
"Saturated First Stage",-2.78511811345199,3.48603944442049,0.00268550264532417,0.0996363118969917,0.000245114357275772,2388,0.2388,2489,0.2489,0.106053652793073,0.00268550264532417,"Medium"
"Forest",-14.6859331563346,12.7847047489758,3.96672399234547e-49,-0.206394673532615,9.98097188923572e-38,2278,0.2278,2348,0.2348,-0.211114604884396,9.98097188923572e-38,"Medium"
"Saturated First Stage",-11.6948946738961,10.0994849668795,1.72195425807394e-31,-0.203552561093355,2.77665351674828e-24,2278,0.2278,2487,0.2487,-0.211114604884396,2.77665351674828e-24,"Medium"
"Forest",-3.50008086430813,10.6477094520401,0.000232558520138693,1.07711526677257,8.93541003677731e-27,516,0.0516,564,0.0564,1.09194583086175,0.000232558520138693,"Medium"
"Saturated First Stage",-0.995115989733492,6.90866410386333,0.15986405300974,1.11527243518319,2.44619410974989e-12,516,0.0516,216,0.0216,1.09194583086175,0.15986405300974,"Medium"
"Forest",-8.74155769875093,7.47015595882691,1.14959026563134e-18,-0.210417822391346,4.00499146223473e-14,2483,0.2483,2397,0.2397,-0.184133166577138,4.00499146223473e-14,"Medium"
"Saturated First Stage",-5.90863888142562,4.8660046403033,1.83913780199200e-09,-0.167604006443688,5.69384223920486e-07,2483,0.2483,2493,0.2493,-0.184133166577138,5.69384223920486e-07,"Medium"
"Forest",-5.37995761095713,12.3073062567395,3.72516897022463e-08,0.964519937195817,4.13694081073398e-35,772,0.0772,750,0.075,0.944568561712429,3.72516897022463e-08,"Medium"
"Saturated First Stage",-0.415690024749173,7.74265842206543,0.338827358091511,0.975848656717013,4.86796732758503e-15,772,0.0772,1001,0.1001,0.944568561712429,0.338827358091511,"Medium"
"Forest",-5.75811000125821,5.29421386367685,4.25304605568424e-09,-0.342999599371867,5.9764741962899e-08,1556,0.1556,1410,0.141,-0.3197662373699,5.9764741962899e-08,"Medium"
"Saturated First Stage",-3.60423873793169,1.6015755751544,0.00015806187260014,-0.329298827653125,0.0546247477587061,1556,0.1556,1814,0.1814,-0.3197662373699,0.0546247477587061,"Medium"
"Forest",-8.81536045750897,3.2767393558929,5.96503030398191e-19,-0.732757336960307,0.000525066307230016,516,0.0516,1012,0.1012,-0.729108458381478,0.000525066307230016,"Medium"
"Saturated First Stage",-5.24913486076662,-0.117980697381683,7.95744245942829e-08,-0.727713102023745,0.546958523844664,516,0.0516,0,0,-0.729108458381478,0.546958523844664,"Medium"
"Forest",-6.01164980323926,9.00326492710968,9.18223497526697e-10,0.780192805179189,1.09551406737373e-19,1427,0.1427,1329,0.1329,0.774940652678848,9.18223497526697e-10,"Medium"
"Saturated First Stage",-3.08995759159682,8.30808009561545,0.00100643649343749,0.742551046435094,4.8631435811056e-17,1427,0.1427,1408,0.1408,0.774940652678848,0.00100643649343749,"Medium"
"Forest",-1.92358651274264,10.1638359271178,0.027203216479512,0.964959786789337,1.43768040013788e-24,524,0.0524,323,0.0323,0.983734938694226,0.027203216479512,"Medium"
"Saturated First Stage",0.135309740193785,5.3318990923049,0.553813779031192,0.961680988767158,4.8595472063932e-08,524,0.0524,0,0,0.983734938694226,0.553813779031192,"Medium"
"Forest",-6.66394591503988,2.96921562194358,1.33285799605921e-11,-0.660468639148718,0.00149280508300374,971,0.0971,734,0.0734,-0.624817305585449,0.00149280508300374,"Medium"
"Saturated First Stage",-5.19919741504379,0.547533621502832,1.04070026809844e-07,-0.614658497914979,0.292006089226402,971,0.0971,1464,0.1464,-0.624817305585449,0.292006089226402,"Medium"
"Forest",-5.75947649779877,12.1360336812237,4.21876029403938e-09,0.602937455616701,3.40226295120405e-34,1680,0.168,1735,0.1735,0.608585406069572,4.21876029403938e-09,"Medium"
"Saturated First Stage",-4.69394737231728,9.58570541552836,1.37578263381544e-06,0.620018977650836,4.59139839334351e-22,1680,0.168,1502,0.1502,0.608585406069572,1.37578263381544e-06,"Medium"
"Forest",-5.14608999974106,5.40197036259205,1.32985927374745e-07,-0.174305197592794,3.29564211438199e-08,1618,0.1618,1862,0.1862,-0.179263031717384,3.29564211438199e-08,"Medium"
