"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-1.02332174598831,10.9121565332886,0.153090262001171,0.977929371692951,5.04177339949602e-28,1545,0.1545,2967,0.2967,1,0.153090262001171,"Large"
"Forest",-6.90689109955457,12.3416526268745,2.47694959811567e-12,1.01071027650672,2.7017619835659e-35,1875,0.1875,1740,0.174,1,2.47694959811567e-12,"Large"
"Saturated First Stage",-0.0226488720326221,9.73370986352435,0.490965405954532,1.00469322325903,1.08274005780421e-22,1875,0.1875,1073,0.1073,1,0.490965405954532,"Large"
"Forest",-6.42210183585923,15.9911144793589,6.72027266913625e-11,0.978208692245154,7.36853872734757e-58,1974,0.1974,1989,0.1989,1,6.72027266913625e-11,"Large"
"Saturated First Stage",-1.85511899841031,11.0259681576253,0.0318043369331194,0.954000010723054,1.4320987334444e-28,1974,0.1974,2977,0.2977,1,0.0318043369331194,"Large"
"Forest",-4.75123500971199,11.3062575100936,1.0108899374395e-06,0.953086228902714,6.10954971564032e-30,1546,0.1546,1666,0.1666,1,1.0108899374395e-06,"Large"
"Saturated First Stage",0.322214248796479,10.1952917340118,0.626351433510762,0.960776145097072,1.0405937283833e-24,1546,0.1546,0,0,1,0.626351433510762,"Large"
"Forest",-4.72812830254442,15.4023629265369,1.13299493492082e-06,1.30123399992391,7.88980917554284e-54,2116,0.2116,1555,0.1555,1,1.13299493492082e-06,"Large"
"Saturated First Stage",-0.975021111916116,11.4570052609986,0.164786698077758,1.29644424217809,1.08442484665043e-30,2116,0.2116,573,0.0573,1,0.164786698077758,"Large"
"Forest",-4.96332119243397,11.0032934445018,3.46489196666612e-07,0.850805582041805,1.84212646370034e-28,1539,0.1539,1506,0.1506,1,3.46489196666612e-07,"Large"
"Saturated First Stage",-0.00632842591429329,8.26260544550353,0.497475403366656,0.862944037565999,7.12633681457214e-17,1539,0.1539,291,0.0291,1,0.497475403366656,"Large"
"Forest",-5.17867506265235,10.3217547486423,1.11733655744663e-07,1.04789003308977,2.80933805031798e-25,1485,0.1485,1016,0.1016,1,1.11733655744663e-07,"Large"
"Saturated First Stage",1.16655688827108,8.78904467481066,0.878291395611828,1.05933857998355,7.54185407921307e-19,1485,0.1485,0,0,1,0.878291395611828,"Large"
"Forest",-4.84867939585446,12.0554832141514,6.21430512903419e-07,0.880083630131505,9.07325547410755e-34,858,0.0858,1370,0.137,1,6.21430512903419e-07,"Large"
"Saturated First Stage",0.0189272037224016,9.37805782479188,0.507550222011303,0.88683506187944,3.35995476435895e-21,858,0.0858,0,0,1,0.507550222011303,"Large"
"Forest",-6.23279827206171,13.4125845907191,2.29088013791378e-10,1.2386621225136,2.55144700256919e-41,2253,0.2253,1699,0.1699,1,2.29088013791378e-10,"Large"
"Saturated First Stage",-0.95496690820528,12.8755088105456,0.169808769386107,1.26305837635345,3.0915132738553e-38,2253,0.2253,1672,0.1672,1,0.169808769386107,"Large"
"Forest",-4.24509505617558,16.0687318236227,1.09250386736366e-05,0.98479773756577,2.11322303432809e-58,1556,0.1556,1673,0.1673,1,1.09250386736366e-05,"Large"
"Saturated First Stage",-0.794796962857804,9.23634634486844,0.213375249605277,0.98153475042198,1.27528954176621e-20,1556,0.1556,498,0.0498,1,0.213375249605277,"Large"
"Forest",-5.61301716743574,13.2934713039396,9.94144323424731e-09,1.12935436687801,1.26291383391759e-40,2037,0.2037,2137,0.2137,1,9.94144323424731e-09,"Large"
"Saturated First Stage",-1.53879569618873,12.3601856384504,0.0619429260619643,1.11863259155779,2.14582252429518e-35,2037,0.2037,2677,0.2677,1,0.0619429260619643,"Large"
"Forest",-6.7302661735847,12.2479957661028,8.46764986068552e-12,0.961058963660017,8.60995245797363e-35,2158,0.2158,1997,0.1997,1,8.46764986068552e-12,"Large"
"Saturated First Stage",-1.76821608204978,11.7879375074915,0.0385276508168728,0.969078036620413,2.25218507626668e-32,2158,0.2158,3096,0.3096,1,0.0385276508168728,"Large"
"Forest",-5.73613505547527,12.2468933985204,4.84307167554239e-09,0.893864762123458,8.72776068197809e-35,2108,0.2108,2757,0.2757,1,4.84307167554239e-09,"Large"
"Saturated First Stage",-3.81379395372167,12.2381150410271,6.88366159355586e-05,0.867222880888053,9.72486184036045e-35,2108,0.2108,3701,0.3701,1,6.88366159355586e-05,"Large"
"Forest",-4.00137118040138,14.5561814066264,3.14882388268939e-05,0.961599975412435,2.66780610200184e-48,1994,0.1994,2270,0.227,1,3.14882388268939e-05,"Large"
"Saturated First Stage",-1.28492382576696,10.5354731454568,0.0994243473642002,0.968252298276863,2.9642197588546e-26,1994,0.1994,2241,0.2241,1,0.0994243473642002,"Large"
"Forest",-6.82696746584217,13.2301708469899,4.33641769388745e-12,1.05412694956158,2.93768335977089e-40,2052,0.2052,2167,0.2167,1,4.33641769388745e-12,"Large"
"Saturated First Stage",-0.859667848860088,10.4643916630713,0.194996395411542,1.05586276362261,6.29412561592265e-26,2052,0.2052,2379,0.2379,1,0.194996395411542,"Large"
"Forest",-6.13817687220006,15.4095803981388,4.17369474817809e-10,1.04268547205816,7.05626001140173e-54,2307,0.2307,2521,0.2521,1,4.17369474817809e-10,"Large"
"Saturated First Stage",-2.59443104427768,13.6884264322756,0.0047443001937418,1.04573728742965,5.95298713487558e-43,2307,0.2307,2881,0.2881,1,0.0047443001937418,"Large"
"Forest",-5.39196265471289,12.6864555303712,3.48461270943848e-08,0.958022347587558,3.51478527193893e-37,1578,0.1578,1760,0.176,1,3.48461270943848e-08,"Large"
"Saturated First Stage",-1.89818920095045,10.7796387759695,0.0288499786925918,1.00173611881083,2.14784665117614e-27,1578,0.1578,1603,0.1603,1,0.0288499786925918,"Large"
"Forest",-3.15620099252256,11.0183583939956,0.000799193377193187,1.03269695066363,1.55845750380689e-28,1459,0.1459,1182,0.1182,1,0.000799193377193187,"Large"
"Saturated First Stage",-0.377128925992076,9.53936142862916,0.353042903185518,0.99474613888507,7.1857245354167e-22,1459,0.1459,1277,0.1277,1,0.353042903185518,"Large"
"Forest",-6.56198032880177,18.6928141411925,2.6548910947564e-11,1.01906608171661,2.83223909933914e-78,2074,0.2074,2989,0.2989,1,2.6548910947564e-11,"Large"
"Saturated First Stage",-2.49360356430919,12.6341419193095,0.00633070866184949,1.01120241929524,6.84395965292595e-37,2074,0.2074,3062,0.3062,1,0.00633070866184949,"Large"
"Forest",-4.9940706117788,11.9472306275214,2.95598831121401e-07,0.869654848398544,3.35624549837083e-33,1643,0.1643,2128,0.2128,1,2.95598831121401e-07,"Large"
"Saturated First Stage",-0.981365053823102,11.3404231441929,0.163218259064669,0.876582185297299,4.13717017936565e-30,1643,0.1643,2958,0.2958,1,0.163218259064669,"Large"
"Forest",-5.38090976567883,12.4309301533869,3.70551690968818e-08,0.974138093820853,8.87781103787863e-36,1092,0.1092,1254,0.1254,1,3.70551690968818e-08,"Large"
"Saturated First Stage",-0.103877113127704,8.86928522264968,0.458634477554095,0.972155377800673,3.68084490097664e-19,1092,0.1092,613,0.0613,1,0.458634477554095,"Large"
"Forest",-5.85319509494597,11.3849684309251,2.41108947961295e-09,0.900718406456847,2.484311771388e-30,1834,0.1834,1875,0.1875,1,2.41108947961295e-09,"Large"
