"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-26.2444906890047,7.14766731908873,4.13070100154422e-152,-3.22568559223275,4.41324519290023e-13,1090,0.109,1244,0.1244,-1,4.41324519290023e-13,"Large"
"Saturated First Stage",-30.3568560060123,0.546498139103136,5.32584526435964e-194,-3.25478363359673,0.292361783269778,1090,0.109,99,0.0099,-1,0.292361783269778,"Large"
"Forest",-12.5476214739085,45.0328054047475,2.04815150541258e-36,4.4401011609857,0,1027,0.1027,1497,0.1497,1,2.04815150541258e-36,"Large"
"Saturated First Stage",-6.75308176370422,34.5583032128172,7.63949744782766e-12,4.58802536964658,5.34794261650404e-262,1027,0.1027,1163,0.1163,1,7.63949744782766e-12,"Large"
"Forest",-19.3867144793292,54.6331804509822,4.99595663612811e-84,6.24314643599758,0,1115,0.1115,2082,0.2082,1,4.99595663612811e-84,"Large"
"Saturated First Stage",-23.2279159763074,71.4179738469869,1.38351600206773e-116,6.20563807070643,0,1115,0.1115,2821,0.2821,1,1.38351600206773e-116,"Large"
"Forest",-28.6835717355868,41.5971538944774,3.05806764887941e-181,1.17836872419853,0,4522,0.4522,4093,0.4093,1,3.05806764887941e-181,"Large"
"Saturated First Stage",-25.0601396917615,35.477864882877,9.08912836807299e-135,1.17794053339196,5.39459172765899e-276,4522,0.4522,4043,0.4043,1,9.08912836807299e-135,"Large"
"Forest",-29.5514333419529,6.99031432219747,3.14721820298369e-192,-4.01731913375848,1.37135531981614e-12,1084,0.1084,1101,0.1101,-1,1.37135531981614e-12,"Large"
"Saturated First Stage",-30.2794781575418,4.30768218875044,4.57499596500848e-193,-3.94830525595905,8.2487097765223e-06,1084,0.1084,855,0.0855,-1,8.2487097765223e-06,"Large"
"Forest",-11.3371813588238,28.5154916354707,4.29328255184883e-30,2.53134827254606,3.76402155492061e-179,1324,0.1324,2203,0.2203,1,4.29328255184883e-30,"Large"
"Saturated First Stage",-4.92576108539003,21.7967784648581,4.26898195165764e-07,2.51794436444813,1.24466257170814e-105,1324,0.1324,3802,0.3802,1,4.26898195165764e-07,"Large"
"Forest",-29.5506673713252,23.5140607569143,3.21935184949313e-192,-0.440580624708613,1.4645046996082e-122,3441,0.3441,5374,0.5374,1,3.21935184949313e-192,"Large"
"Saturated First Stage",-23.4393247018865,20.5487061311995,1.27540540548533e-118,-0.445422244809681,3.95209567820258e-94,3441,0.3441,5000,0.5,1,1.27540540548533e-118,"Large"
"Forest",-28.2413666801218,28.5788900604474,9.08481330288287e-176,-0.412106279281226,6.14728604803945e-180,3298,0.3298,4597,0.4597,-1,6.14728604803945e-180,"Large"
"Saturated First Stage",-29.1712117818733,25.7817683921092,6.59948640443008e-180,-0.381205404251599,7.10012941843502e-147,3298,0.3298,4969,0.4969,-1,7.10012941843502e-147,"Large"
"Forest",-43.0660082685543,30.2317498331178,0,-1.66402823092185,4.53276585351722e-201,2172,0.2172,4186,0.4186,-1,4.53276585351722e-201,"Large"
"Saturated First Stage",-49.6074802488234,38.6210702688555,0,-1.6564610712052,0,2172,0.2172,4053,0.4053,-1,0,"Large"
"Forest",-18.9226743114051,35.6243812722311,3.70963290137551e-80,1.90437073913894,2.93770927047218e-278,2025,0.2025,3881,0.3881,1,3.70963290137551e-80,"Large"
"Saturated First Stage",-22.0867454506155,32.3177616168521,6.94449822411693e-106,1.69473298437504,1.96918087010471e-229,2025,0.2025,4608,0.4608,1,6.94449822411693e-106,"Large"
"Forest",-23.0964740991544,13.6209886888133,2.51179759276423e-118,-0.973794025026986,1.50236103798774e-42,1842,0.1842,3736,0.3736,-1,1.50236103798774e-42,"Large"
"Saturated First Stage",-16.8513158639772,8.2898129032735,3.76999390636172e-63,-1.00964306070864,5.67133725041515e-17,1842,0.1842,4943,0.4943,-1,5.67133725041515e-17,"Large"
"Forest",-29.8915552140177,35.6179917032923,1.26682156352148e-196,0.545013351088095,3.68921330404661e-278,2958,0.2958,5606,0.5606,-1,3.68921330404661e-278,"Large"
