"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-15.7031851095953,30.7286292720448,1.40702223496013e-54,3.80935444891931,1.18009651071849e-207,839,0.1678,1804,0.3608,1,1.40702223496013e-54,"Medium"
"Forest",-29.9309738833175,55.93312916,3.89120539878997e-197,4.6082977093775,0,846,0.1692,1736,0.3472,1,3.89120539878997e-197,"Medium"
"Saturated First Stage",-27.6652522784686,53.5803502288333,3.69997559856132e-157,4.65759081101936,0,846,0.1692,1931,0.3862,1,3.69997559856132e-157,"Medium"
"Forest",-13.3955727169447,32.2368069552151,3.20895247175126e-41,3.91961466601211,2.69266793313961e-228,655,0.131,1247,0.2494,1,3.20895247175126e-41,"Medium"
"Saturated First Stage",-9.09224294673414,26.111747714959,6.86184749250469e-20,3.90975507970663,1.3408374985699e-150,655,0.131,1274,0.2548,1,6.86184749250469e-20,"Medium"
"Forest",-20.9131155854788,33.5552703121517,2.03391744567155e-97,3.42364863323096,3.7712875392301e-247,816,0.1632,1777,0.3554,1,2.03391744567155e-97,"Medium"
"Saturated First Stage",-12.955947335088,29.5768867641618,4.39652231848253e-38,3.48058265677983,1.48164196391948e-192,816,0.1632,1760,0.352,1,4.39652231848253e-38,"Medium"
"Forest",-26.9699610127443,25.4983178432774,1.66393292776374e-160,-0.327050027379957,1.02888805443979e-143,1530,0.306,2530,0.506,1,1.66393292776374e-160,"Medium"
"Saturated First Stage",-27.7223662533882,25.3391968874007,9.37589517094505e-158,-0.385891386282796,5.91085983595891e-142,1530,0.306,2495,0.499,1,9.37589517094505e-158,"Medium"
"Forest",-30.8253217390194,21.7065274009589,5.99982081167941e-209,-2.15370764103889,8.90048788135668e-105,958,0.1916,1758,0.3516,-1,8.90048788135668e-105,"Medium"
"Saturated First Stage",-26.940984955219,12.8188131599435,1.12174353639198e-149,-2.26611078154746,6.43273645589006e-38,958,0.1916,1938,0.3876,-1,6.43273645589006e-38,"Medium"
"Forest",0.752513143913564,27.5399286853204,0.774128735748431,4.98395328199894,2.92117207763793e-167,131,0.0262,0,0,1,0.774128735748431,"Medium"
"Saturated First Stage",5.11456432478561,21.301822379593,0.999999836882983,4.91666702830888,5.45947770638571e-101,131,0.0262,0,0,1,0.999999836882983,"Medium"
"Forest",-23.3230745050475,27.2872197494719,1.29317090970484e-120,0.0863446946617947,3.00740897140343e-164,1244,0.2488,2510,0.502,1,1.29317090970484e-120,"Medium"
"Saturated First Stage",-14.91230843366,15.7422305679587,1.55375754918937e-49,0.145548186974245,3.88286311697567e-56,1244,0.2488,2144,0.4288,1,1.55375754918937e-49,"Medium"
"Forest",-45.0192843673009,27.8644505402622,0,-3.65843418705343,3.59906785248121e-171,915,0.183,1821,0.3642,-1,3.59906785248121e-171,"Medium"
"Saturated First Stage",-40.187907637239,19.9459379229538,1.67664476511614e-306,-3.78550157864884,8.12862231732309e-89,915,0.183,1972,0.3944,-1,8.12862231732309e-89,"Medium"
"Forest",-17.8694587769635,2.40498186150282,1.01981782234139e-71,-3.0946823111067,0.00808663425365627,363,0.0726,83,0.0166,-1,0.00808663425365627,"Medium"
"Saturated First Stage",-13.8964919644853,-0.863702199236536,2.09525538148128e-43,-3.14779372926391,0.80612424739831,363,0.0726,0,0,-1,0.80612424739831,"Medium"
"Forest",-32.3487126409914,28.4135185106728,7.23189074581081e-230,-2.47621209454045,6.88325096484408e-178,1819,0.3638,1925,0.385,-1,6.88325096484408e-178,"Medium"
"Saturated First Stage",-35.7945267588035,24.5838462562383,2.87757998796206e-250,-2.44910905171772,9.40252380570425e-134,1819,0.3638,2385,0.477,-1,9.40252380570425e-134,"Medium"
"Forest",-27.5336994016923,18.6177157350134,3.4685796274383e-167,-0.301071030919877,1.15426751299474e-77,1363,0.2726,2377,0.4754,-1,1.15426751299474e-77,"Medium"
"Saturated First Stage",-17.8096697577942,16.6759834704363,3.86373460172724e-69,-0.184213373261452,9.79797952415653e-63,1363,0.2726,2363,0.4726,-1,9.79797952415653e-63,"Medium"
"Forest",-35.793408991049,21.1502848373359,6.99269622137286e-281,-3.73859601673498,1.37140374183727e-99,772,0.1544,1668,0.3336,-1,1.37140374183727e-99,"Medium"
"Saturated First Stage",-32.5323460791445,11.0231628873718,5.0822625925706e-211,-3.80899011409286,1.47745103820523e-28,772,0.1544,2101,0.4202,-1,1.47745103820523e-28,"Medium"
"Forest",-39.1844115449644,20.1944332736103,0,-0.59485322842168,5.47883826975633e-91,2341,0.4682,2562,0.5124,1,0,"Medium"
"Saturated First Stage",-21.1284990461628,18.2928573660716,2.81761868040018e-95,-0.850899963936213,4.71689655701692e-75,2341,0.4682,2658,0.5316,1,2.81761868040018e-95,"Medium"
"Forest",-36.134275479603,14.0483270200842,3.28530518739437e-286,-3.58306974900007,3.9437693083899e-45,768,0.1536,1411,0.2822,-1,3.9437693083899e-45,"Medium"
"Saturated First Stage",-36.5036606372243,11.136879716464,4.26459027799849e-259,-3.57397635042179,4.14878695723249e-29,768,0.1536,2123,0.4246,-1,4.14878695723249e-29,"Medium"
"Forest",-20.8453350466847,45.7256258515123,8.40141751502702e-97,4.22467563289995,0,770,0.154,1533,0.3066,1,8.40141751502702e-97,"Medium"
"Saturated First Stage",-16.6003377539916,41.6693381256555,1.39715491348975e-60,4.17264892208764,0,770,0.154,1734,0.3468,1,1.39715491348975e-60,"Medium"
"Forest",-16.9776840712701,21.7730451056519,6.0066957008175e-65,0.835432243791577,2.08961220293349e-105,1633,0.3266,2799,0.5598,-1,2.08961220293349e-105,"Medium"
"Saturated First Stage",-13.8292034057982,18.0932712879361,5.16816717265597e-43,0.856496873673893,1.80032731820845e-73,1633,0.3266,2673,0.5346,-1,1.80032731820845e-73,"Medium"
"Forest",-24.3193131661757,33.4094768958631,6.12425835865199e-131,1.27360169640307,4.9933274895142e-245,2322,0.4644,2261,0.4522,1,6.12425835865199e-131,"Medium"
"Saturated First Stage",-29.0198605436995,36.458842999474,1.54670065430557e-171,1.28070106262768,2.49121904450103e-291,2322,0.4644,2121,0.4242,1,1.54670065430557e-171,"Medium"
"Forest",-25.9461221201432,40.4835939808335,1.00554186745848e-148,2.37775473406639,0,1770,0.354,1973,0.3946,1,1.00554186745848e-148,"Medium"
"Saturated First Stage",-16.5592096899367,25.4015906716464,2.67262846882719e-60,2.18569116489526,1.2109252059736e-142,1770,0.354,1626,0.3252,1,2.67262846882719e-60,"Medium"
"Forest",-29.8538568230954,26.439388849563,3.91150872311216e-196,-2.70034734965172,2.41631600479766e-154,1093,0.2186,1875,0.375,-1,2.41631600479766e-154,"Medium"
