"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Saturated First Stage",8.53222387061223e-05,2.04469206473612,0.500034030053905,0.791520214544788,0.0204426132221231,0,0,0,0,0.791356558571417,0.500034030053905,"Small"
"Forest",-4.9124177551677,2.58378877506575,4.49800614021846e-07,-0.393965002578691,0.00488608108310548,705,0.3525,317,0.1585,-0.376817790711817,0.00488608108310548,"Small"
"Saturated First Stage",-2.75004716903109,1.51165526470847,0.00303362912850164,-0.436801072606081,0.0653107923312782,705,0.3525,359,0.1795,-0.376817790711817,0.0653107923312782,"Small"
"Forest",-2.65542338152752,3.36114047034736,0.00396044624575015,-0.0640427766105788,0.000388106691299709,664,0.332,499,0.2495,-0.100050838617185,0.000388106691299709,"Small"
"Saturated First Stage",-0.958080632107587,0.74858435512689,0.169128005055453,-0.0913381921223031,0.227053882286885,664,0.332,476,0.238,-0.100050838617185,0.227053882286885,"Small"
"Forest",-3.70590446529163,6.92725701005568,0.000105318845661965,0.122349232882805,2.14539326151397e-12,246,0.123,567,0.2835,0.145455536423786,0.000105318845661965,"Small"
"Saturated First Stage",-2.31434109773354,3.10540986746149,0.0104264672086306,0.202615296986534,0.000950077609058897,246,0.123,441,0.2205,0.145455536423786,0.0104264672086306,"Small"
"Forest",-4.58011649985515,5.59679328883552,2.32358500043673e-06,0.465359346627222,1.09176395235591e-08,412,0.206,421,0.2105,0.407498012368136,2.32358500043673e-06,"Small"
"Saturated First Stage",-2.24393504177413,3.67600953969417,0.0125284611968626,0.462319990593267,0.000118455333568026,412,0.206,487,0.2435,0.407498012368136,0.0125284611968626,"Small"
"Forest",-5.11334971134822,3.69532758199265,1.5824778881348e-07,0.197370866028348,0.00010980173257484,462,0.231,384,0.192,0.0800056747125567,1.5824778881348e-07,"Small"
"Saturated First Stage",-2.19944835242078,2.17131166443171,0.0140383102366654,-0.0108244184068497,0.0149538105872417,462,0.231,590,0.295,0.0800056747125567,0.0140383102366654,"Small"
"Forest",-6.86401744540962,4.86961391289223,3.34752246142167e-12,-0.412712369242443,5.590825435983e-07,453,0.2265,386,0.193,-0.392394361183438,5.590825435983e-07,"Small"
"Saturated First Stage",-4.63046617001532,3.04619107019704,2.06705347630515e-06,-0.458257088022351,0.00115880252891113,453,0.2265,418,0.209,-0.392394361183438,0.00115880252891113,"Small"
"Forest",-2.5779383337674,2.75165546588932,0.00496958667260672,0.177135444400767,0.00296474337452212,449,0.2245,423,0.2115,0.0204243434828252,0.00496958667260672,"Small"
"Saturated First Stage",-1.34202446040978,1.30217169651263,0.0899478805079398,-0.0129768518191584,0.0964288491526496,449,0.2245,500,0.25,0.0204243434828252,0.0899478805079398,"Small"
"Forest",-2.40093412914295,6.54495049985604,0.00817663997641498,0.700990907749047,2.97575475862506e-11,194,0.097,316,0.158,0.701527952392368,0.00817663997641498,"Small"
"Saturated First Stage",-1.73774029846899,4.0326852604589,0.0412837714171703,0.759252292473413,2.75715561112804e-05,194,0.097,331,0.1655,0.701527952392368,0.0412837714171703,"Small"
"Forest",-0.865673896862299,6.85167512562897,0.193334509299075,1.2599103816587,3.64950852737923e-12,127,0.0635,17,0.0085,1.23684855988057,0.193334509299075,"Small"
"Saturated First Stage",0.0456949413604226,3.67517977205647,0.518218694434779,1.24354458183648,0.000118840996893293,127,0.0635,0,0,1.23684855988057,0.518218694434779,"Small"
"Forest",-2.32468200713458,3.94564584126811,0.0100444850438036,0.173471490765628,3.97925867162294e-05,571,0.2855,383,0.1915,0.199351074402149,0.0100444850438036,"Small"
