"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-8.33557964172551,13.6641448191497,3.8559723044153e-17,0.703310858635527,8.31226693388434e-43,448,0.448,471,0.471,1,3.8559723044153e-17,"Small"
"Saturated First Stage",-6.74915518734574,7.12529686067343,1.26411947490817e-11,0.181568328298432,5.19283001309279e-13,448,0.448,500,0.5,1,1.26411947490817e-11,"Small"
"Forest",-8.46250528337436,15.6022739889838,1.30846940851099e-17,1.73066050853384,3.51233659233389e-55,373,0.373,376,0.376,1,1.30846940851099e-17,"Small"
"Saturated First Stage",-7.94977759638128,13.205125389435,2.53535095266206e-15,1.87092609023352,4.09815592079813e-40,373,0.373,376,0.376,1,2.53535095266206e-15,"Small"
"Forest",-23.4805326614172,-0.232100240786902,3.22443736183082e-122,-6.75491842335608,0.591769921068351,52,0.052,0,0,-1,0.591769921068351,"Small"
"Saturated First Stage",-8.9095442775708,-0.934579186465208,1.20629021043547e-18,-6.53592920689472,0.824997395269535,52,0.052,0,0,-1,0.824997395269535,"Small"
"Forest",-16.1740968812668,6.07434181987058,3.84079446579338e-59,-3.50697429126141,6.22486425832518e-10,151,0.151,301,0.301,-1,6.22486425832518e-10,"Small"
"Saturated First Stage",-11.6080679409755,4.80988785162728,1.34220496089968e-29,-3.2513916350516,7.55075004975803e-07,151,0.151,392,0.392,-1,7.55075004975803e-07,"Small"
"Forest",-24.7093375346232,9.41345844014204,4.24421084428009e-135,-6.2082323386937,2.40037519025418e-21,124,0.124,246,0.246,-1,2.40037519025418e-21,"Small"
"Saturated First Stage",-15.8498550441932,5.45178988046677,6.80485087947771e-51,-6.10831195352345,2.49326773350761e-08,124,0.124,327,0.327,-1,2.49326773350761e-08,"Small"
"Forest",-3.14591241581399,15.328010032266,0.000827847896545562,3.86305167352941,2.48489858670952e-53,114,0.114,163,0.163,1,0.000827847896545562,"Small"
"Saturated First Stage",-1.60246201995159,10.1489869081694,0.0546862347603373,3.66782058823994,1.67410500664477e-24,114,0.114,199,0.199,1,0.0546862347603373,"Small"
"Forest",-1.2806818369205,7.06374603340728,0.100152720999275,1.92814809965691,8.10364218880013e-13,71,0.071,59,0.059,1,0.100152720999275,"Small"
"Saturated First Stage",-0.356686992022554,4.19275704664543,0.360701076025704,1.88760033912278,1.37792270050072e-05,71,0.071,1,0.001,1,0.360701076025704,"Small"
"Forest",-20.5578255986992,0.676155279023918,3.27516918279631e-94,-3.62436903722391,0.249471031374589,92,0.092,16,0.016,-1,0.249471031374589,"Small"
"Saturated First Stage",-9.46710259984728,0.762417730924332,1.01814180906028e-20,-3.73977273391995,0.222905363549823,92,0.092,157,0.157,-1,0.222905363549823,"Small"
"Forest",-12.1087111482305,9.39731229640839,4.74873809027237e-34,-1.27253920411553,2.79872978395825e-21,191,0.191,400,0.4,-1,2.79872978395825e-21,"Small"
"Saturated First Stage",-8.41419264155807,4.73581460690659,6.85450371315897e-17,-1.33593186548291,1.09088482514645e-06,191,0.191,445,0.445,-1,1.09088482514645e-06,"Small"
"Forest",-11.5948592130571,15.3517591615302,2.187923040565e-31,0.132819853073179,1.72355262236728e-53,306,0.306,557,0.557,-1,1.72355262236728e-53,"Small"
"Saturated First Stage",-7.16180423567285,7.43310801184133,7.75899669931809e-13,0.11874947708605,5.30376062010907e-14,306,0.306,513,0.513,-1,5.30376062010907e-14,"Small"
"Forest",-3.16180310809034,10.5686045118756,0.0007839777072067,2.32243884013519,2.08324045658986e-26,136,0.136,178,0.178,1,0.0007839777072067,"Small"
"Saturated First Stage",-1.44354397209402,6.45146695193897,0.0745918230088208,2.65859713070386,5.53863041384472e-11,136,0.136,119,0.119,1,0.0745918230088208,"Small"
"Forest",-16.8040305312923,6.54587051055761,1.14004979541019e-63,-3.58809780167196,2.95749079992953e-11,166,0.166,244,0.244,-1,2.95749079992953e-11,"Small"
"Saturated First Stage",-13.0890053331269,4.53060887946526,1.59920846074222e-36,-3.50579506754181,2.94069670642637e-06,166,0.166,368,0.368,-1,2.94069670642637e-06,"Small"
"Forest",-19.6166461185278,2.33376858604062,5.57346253583968e-86,-5.09769619730731,0.00980392127436324,37,0.037,74,0.074,-1,0.00980392127436324,"Small"
"Saturated First Stage",-12.1719728760687,1.03672326981458,3.64925996966345e-32,-5.1623079442947,0.14993242201251,37,0.037,89,0.089,-1,0.14993242201251,"Small"
"Forest",-16.1866767506133,3.7852387879781,3.13102503377554e-59,-4.18904175757772,7.67805283727855e-05,105,0.105,205,0.205,-1,7.67805283727855e-05,"Small"
"Saturated First Stage",-11.1537630183296,1.31811363966187,1.34431561519944e-27,-4.56438684375607,0.0937328046005459,105,0.105,303,0.303,-1,0.0937328046005459,"Small"
"Forest",-6.36209496565735,18.126228715847,9.95101609059793e-11,1.93240225358127,9.89365719708685e-74,217,0.217,394,0.394,1,9.95101609059793e-11,"Small"
"Saturated First Stage",-6.24999318442283,10.732521065476,3.04531112040776e-10,2.03462767788069,3.58076178169363e-27,217,0.217,490,0.49,1,3.04531112040776e-10,"Small"
"Forest",-4.12264012606223,11.7102491792449,1.87277310765238e-05,2.81974755217661,5.64735960589782e-32,157,0.157,261,0.261,1,1.87277310765238e-05,"Small"
"Saturated First Stage",-3.20089677685654,9.40013347687145,0.000706809575656763,3.14982399277878,2.72469486691422e-21,157,0.157,212,0.212,1,0.000706809575656763,"Small"
"Forest",-5.69341429870008,17.2986757883396,6.22618668385737e-09,4.04616043524387,2.40662763027341e-67,136,0.136,193,0.193,1,6.22618668385737e-09,"Small"
"Saturated First Stage",-6.11210193426748,14.1438442455602,7.06169752148656e-10,3.86969708048573,1.01919013467994e-45,136,0.136,262,0.262,1,7.06169752148656e-10,"Small"
"Forest",-20.5506392873808,5.40522776464532,3.79781777042401e-94,-3.26877958477077,3.23630451141943e-08,114,0.114,286,0.286,-1,3.23630451141943e-08,"Small"
"Saturated First Stage",-12.2487966920651,3.04226281000983,1.60619720424929e-32,-3.35791998480655,0.00117403394065226,114,0.114,411,0.411,-1,0.00117403394065226,"Small"
"Forest",-13.1207740531314,0.581348682815726,1.2518228136498e-39,-3.03251390002529,0.280502738054383,46,0.046,16,0.016,-1,0.280502738054383,"Small"
"Saturated First Stage",-6.69822486557362,-0.10233189089149,1.76615032762346e-11,-3.01549415797986,0.540753378550733,46,0.046,0,0,-1,0.540753378550733,"Small"
"Forest",-6.38731821806672,35.6541532953774,8.44100514114454e-11,4.76843340159266,1.01586753963484e-278,135,0.135,214,0.214,1,8.44100514114454e-11,"Small"
"Saturated First Stage",-4.91881727385526,17.3466142503235,5.09524895902864e-07,4.76302086004395,1.04608669050715e-67,135,0.135,265,0.265,1,5.09524895902864e-07,"Small"
"Forest",-8.54969297445288,12.8760006506313,6.17081821729702e-18,0.532759754587148,3.07188119163664e-38,319,0.319,450,0.45,1,6.17081821729702e-18,"Small"
"Saturated First Stage",-6.1813310740423,7.56997776257184,4.63889867445738e-10,0.491466763373321,1.86644061552141e-14,319,0.319,463,0.463,1,4.63889867445738e-10,"Small"
"Forest",-21.2800115640813,11.0197800288313,8.69497556269436e-101,-4.04633147555699,1.53403955251772e-28,174,0.174,336,0.336,-1,1.53403955251772e-28,"Small"
"Saturated First Stage",-12.3884855093778,5.41372915094384,3.57763582551275e-33,-4.2522431288219,3.08627560725203e-08,174,0.174,281,0.281,-1,3.08627560725203e-08,"Small"
"Forest",-18.8984984226275,12.0329600111029,5.86724117284079e-80,-2.47066450888133,1.19227779352792e-33,179,0.179,275,0.275,-1,1.19227779352792e-33,"Small"
